title,company_name,location,via,date_time,salary_standardized,description_tokens
"Intern, People Data Analyst",Biogen,United States,via Indeed,2023-01-12 04:00:22.057054,,"excel, powerpoint"
Financial Crimes Data Analyst,MidFirst Bank,"Oklahoma City, OK",via Indeed,2023-03-17 03:00:22.188151,,"communication, interpersonal skills, initiative, tableau, excel, sql, c, sap, problem solving"
Research Assistant/Data Analyst,University of Kansas Medical Center,"Kansas City, KS",via Indeed,2023-01-25 04:00:27.941142,,"communication, problem solving, sas, r, interpersonal skills, go, spreadsheet, excel, spss, unix, python, matlab"
"Data Analyst, Growth Analytics",Shutterfly,United States,via Indeed,2023-03-11 04:00:17.599363,,"power bi, detail oriented, tableau, excel, sql"
Data Insights Analyst,Life.Church,"Edmond, OK",via Indeed,2023-02-22 04:00:24.768852,,"communication, initiative, tableau"
Sr. Corrosion and Data Analyst,"Vision Point Systems, Inc.",United States,via Indeed,2023-02-04 04:00:19.151590,,
I.T. Data Analyst,D.A. Davidson Companies,Anywhere,via Indeed,2023-02-18 04:00:14.857440,,"communication, power bi, tableau, sql, integrity, collaboration"
Sr. Data Analyst,Amida Technology Solutions,Anywhere,via Indeed,2023-04-02 03:00:09.609179,,"communication, interpersonal skills, initiative, teamwork, selenium"
Data Analyst – Healthcare,Hollstadt & Associates,Anywhere,via Indeed,2023-01-22 04:00:10.650808,,"word, power bi, aws, postgres, excel, sql, powerpoint"
Salesforce Data Analyst,Nearpod,Anywhere,via Indeed,2023-04-19 03:00:14.752304,,"communication, tableau, interpersonal skills, sql, integrity, empathy, alteryx"
Data Analyst - Health Services Product Management,San Francisco Health Plan,Anywhere,via Indeed,2023-04-29 03:00:26.766651,,"communication, sql, integrity, decision making"
Data Analyst - Health Services Product Management,San Francisco Health Plan,Anywhere,via Indeed,2023-04-29 03:00:30.671473,,"communication, sql, integrity, decision making"
Entry-Level Data Analyst,TeeTurtle,Anywhere,via Indeed,2023-05-14 03:00:08.679636,55000.0,"problem solving, tableau, adaptability, excel, sql, integrity, collaboration, flexibility"
Data Analyst (Remote),"Westport Properties, Inc.",Anywhere,via Indeed,2023-05-11 03:00:09.632553,80000.0,"communication, machine learning, word, c, powershell, excel, sql, outlook, python"
Senior Data Analyst,Hagerty Consulting Inc,Anywhere,via Indeed,2023-01-15 04:00:26.645367,82500.0,"communication, interpersonal skills, excel, decision making, power bi"
Apptio Expert Data Analyst,Fathom Management LLC,Anywhere,via Indeed,2023-04-01 03:00:11.650344,110000.0,"communication, conflict resolution, interpersonal skills, ssis, sql, problem solving, collaboration"
Apptio Expert Data Analyst,Fathom Management LLC,Anywhere,via Indeed,2023-04-06 03:00:11.394868,110000.0,"communication, conflict resolution, interpersonal skills, ssis, sql, problem solving, collaboration"
Data Analyst,Logic20/20 Inc.,"Overland Park, KS",via Indeed,2023-03-15 03:00:10.710362,120500.0,"power bi, excel, integrity, powerpoint"
Data Engineer / Data Analyst,"FINSYNC, Inc.",Anywhere,via Indeed,2023-03-19 03:03:24.278753,145000.0,"time management, communication, tableau, teamwork, qlik, sql, collaboration, flexibility, power bi"
Sr. Clinical Data Analyst,"McKesson Specialty Health Pharmaceutical & Biotech Solutions, LLC",Anywhere,via Indeed,2023-05-04 03:01:00.694665,161500.0,"word, sas, tableau, r, excel, visual basic, sql, hadoop, python, sap, nosql, powerpoint"
Sr. Data Analyst,Abbott Laboratories,United States,via Indeed,2023-03-11 04:00:19.455376,123050.0,"communication, power bi, sap"
Data Analyst,Fisher & Phillips LLP,Anywhere,via Indeed,2023-01-11 04:00:14.868516,88504.0,"communication, power bi, word, critical thinking, spreadsheet, teamwork, excel"
Entry Level Data Analyst,Data Cloud Merge,United States,via Indeed,2023-01-07 04:00:18.965787,,"power bi, tableau, mysql, sql"
VP; Capital Planning Transformation Data Analyst,Citi,United States,via Indeed,2023-01-13 04:00:32.092493,,"communication, interpersonal skills, accountability, presentation skills"
Senior Data Analyst,Verizon,"Tulsa, OK",via Indeed,2023-01-19 04:00:47.338648,,"tableau, excel, sql, presentation skills, powerpoint"
Payer Data Analyst,Privia Health,United States,via Indeed,2023-03-10 04:00:19.736354,,"time management, excel, sql, pandas, accountability, python, snowflake, spreadsheet"
Data Analyst II - Commercial Payments,Commerce Bank,"Kansas City, MO",via Indeed,2023-03-23 03:00:23.865152,,"communication, power bi, word, negotiation, sas, tableau, critical thinking, excel, sql, outlook"
Clinical Research Data Analyst-Engineer,Boston Medical Center,United States,via Indeed,2023-04-12 03:00:14.270229,,"communication, sas, tableau, critical thinking, r, sql, decision making"
Data Analyst,Burrell Behavioral Health,United States,via Indeed,2023-01-21 04:00:32.494473,,"tableau, excel, sql, crystal"
Workforce Planning Data Analyst,"JPMorgan Chase Bank, N.A.",United States,via Indeed,2023-03-20 03:00:13.014151,,"communication, tableau, creativity, excel, python, alteryx, collaboration"
Healthcare Data Analyst,Navient,United States,via Indeed,2022-12-27 04:00:15.470066,,"communication, critical thinking, excel, sql, flexibility"
"Data Quality Analyst - Experian Health - Strong SQL experience, QA...",Experian,United States,via Indeed,2023-01-11 04:00:34.325162,,"time management, communication, word, sql, integrity, selenium"
Data Quality Analyst - Experian Health - Strong SQL writing...,Experian,United States,via Indeed,2023-03-01 04:00:40.929611,,"time management, communication, word, sql, integrity, selenium"
Clinical Data Analyst,Mercy,"Springfield, MO",via Indeed,2023-03-16 03:00:11.640400,,"communication, tableau, critical thinking, go, accountability, outlook"
Clinical Data Analyst,Mercy,"Springfield, MO",via Indeed,2023-03-16 03:00:14.912173,,"communication, tableau, critical thinking, go, accountability, outlook"
Data Analyst,Hazel,United States,via Indeed,2023-04-19 03:00:13.726896,,"sql, snowflake, collaboration"
Sr Data Analyst,Justpoint,United States,via Indeed,2023-05-16 03:00:10.112344,,
Call Data Analyst,Go Local Interactive,"Overland Park, KS",via Indeed,2022-12-09 04:00:15.744988,,"communication, go, excel"
Call Data Analyst,Go Local Interactive,"Overland Park, KS",via Indeed,2022-12-09 04:00:21.990935,,"communication, go, excel"
"Lead Data Analyst with (Accounts Receivable, General Ledger...",VTekis Consulting LLP,United States,via Indeed,2023-02-17 04:00:38.406971,,"communication, python, tableau, snowflake, sql"
"Lead Data Analyst with (Accounts Receivable, General Ledger...",VTekis Consulting LLP,United States,via Indeed,2023-02-17 04:00:42.046990,,"communication, python, tableau, snowflake, sql"
"Lead Data Analyst with (Accounts Receivable, General Ledger...",VTekis Consulting LLP,United States,via Indeed,2023-02-19 04:00:32.731116,,"communication, python, tableau, snowflake, sql"
Data Analyst II,Commonwealth Corporation,United States,via Indeed,2023-02-19 04:00:26.622206,62500.0,"communication, power bi, problem solving, tableau, integrity, collaboration"
Data Analyst,Logicalis,Anywhere,via Indeed,2022-11-20 04:00:09.507061,,"communication, power bi, detail oriented, tableau, interpersonal skills, qlik, sql, cognos"
Senior Data Analyst (Remote),Cambridge Technology Enterprises (CTE),Anywhere,via Indeed,2022-12-08 04:00:29.265789,,"java, aws, looker, azure, python, tableau, gcp, powershell, excel, qlik, sql, javascript, spark"
REMOTE Data Analysts (Analytics/ETL),Atrilogy,Anywhere,via Indeed,2022-12-10 04:00:32.132360,,"communication, azure, power bi, word, data lake, spark, tensorflow, sas, r, aws, excel, sql, redshift, python, data lakes, snowflake"
Data Analyst,Teleperformance,Anywhere,via Indeed,2022-12-29 00:19:20.369088,,"sas, excel, sql, javascript, spss"
Data Analyst,Logicalis,Anywhere,via Indeed,2023-02-11 04:00:19.077001,,"communication, power bi, detail oriented, tableau, interpersonal skills, qlik, sql, cognos"
Data Analyst,Renovo Solutions,Anywhere,via Indeed,2023-04-08 03:00:18.806063,,"communication, power bi, tableau, excel, machine learning, sql, collaboration"
CHESS: Business Data Analyst,MedCost LLC,Anywhere,via Indeed,2023-04-30 03:00:12.317076,,"r, sas, python, power bi, tableau, ssrs, ssis, qlik, sql, alteryx, collaboration"
Data Analyst,Tds Operating Inc,Anywhere,via Indeed,2023-02-08 04:00:18.002106,,"communication, word, problem solving, interpersonal skills, excel, sql, accountability, integrity"
Data Analyst,Tds Operating Inc,Anywhere,via Indeed,2023-02-08 04:00:19.482937,,"communication, word, problem solving, interpersonal skills, excel, sql, accountability, integrity"
Data Analyst,Vast Bank,Anywhere,via Indeed,2023-04-28 03:00:14.469138,,"communication, power bi, tableau, critical thinking, interpersonal skills, excel, integrity, decision making, flexibility"
Senior Data Analyst- Business Intelligence,AutoAnything,Anywhere,via Indeed,2023-01-11 04:00:30.820159,,"time management, tableau, bigquery, excel, sql"
Automotive Data Analyst,"Predii, Inc",Anywhere,via Indeed,2023-04-02 03:00:11.720574,67600.0,"communication, spreadsheet, excel"
Data Scientist or Bioinformatician (remote),UT Southwestern Medical Center,Anywhere,via Indeed,2023-05-14 03:00:11.501576,93500.0,"r, python, linux, machine learning, perl"
QNXT Data Analyst,Gainwell Technologies LLC,Anywhere,via Indeed,2023-01-26 04:00:24.188451,97500.0,"collaboration, flexibility"
Data Analyst,FASTENER DISTRIBUTION HOLDINGS LLC,Anywhere,via Indeed,2023-04-13 03:00:15.792193,95000.0,"r, sas, communication, python, power bi, sql, collaboration"
Data Analyst,Logic20/20 Inc.,"Kansas City, MO",via Indeed,2023-01-15 04:00:11.558967,120500.0,"excel, integrity, powerpoint"
Identity Access Management Data Analyst,U.S. Bank National Association,Anywhere,via Indeed,2023-02-19 04:00:28.437202,113977.5,"communication, motivation, excel, sql, integrity, presentation skills, collaboration"
"Senior Data Analyst, Marketing & Enrollment",Adtalem Global Education,Anywhere,via Indeed,2023-02-02 04:00:32.849123,72940.495,"communication, power bi, tableau, sql, python, data lakes"
Data Analyst,Barcel Usa Llc,United States,via Indeed,2022-12-23 04:00:29.980189,,"detail oriented, time management, power bi, excel, integrity"
DATA ANALYST II,Global Holdings Tulsa Llc,"Tulsa, OK",via Indeed,2023-02-26 04:00:09.685647,,"detail oriented, power bi, ssrs, sql, crystal"
Data Analyst,Nexlogica,United States,via Indeed,2023-03-30 03:00:37.742052,,"communication, emotional intelligence, azure, power bi, word, problem solving, t-sql, power bi, sas, creativity, critical thinking, ssrs, excel, sql, empathy, powerpoint"
"Business Analyst, Business Operations",Omnicell,United States,via Indeed,2023-04-30 03:00:20.548319,,"communication, c, problem solving, tableau, excel, sql, accountability, decision making"
Data Visualization Analyst,"Agency Mania Solutions, LLC",United States,via Indeed,2023-03-21 03:00:23.897721,,"communication, power bi, tableau, excel, problem solving, decision making, presentation skills"
Client Development Data Analyst,Husch Blackwell,United States,via Indeed,2023-04-29 03:00:30.671473,,"communication, microstrategy, matplotlib, word, power bi, tableau, terminal, critical thinking, r, excel, sql, integrity, python, assembly, powerpoint"
Data Analyst -,Capgemini,United States,via Indeed,2022-12-17 04:00:15.823837,,"unix, communication, sql, problem solving"
Data Analyst,Oklahoma City Indian Clinic,United States,via Indeed,2023-01-22 04:00:17.363454,,c
Data and Visualization Analyst,"LogiSolve, LLC",Anywhere,via Indeed,2023-02-15 04:00:19.101134,,"communication, interpersonal skills, power bi, tableau, sql, power bi"
Data and Visualization Analyst,"LogiSolve, LLC",Anywhere,via Indeed,2023-02-15 04:00:22.222374,,"communication, interpersonal skills, power bi, tableau, sql, power bi"
客服运营部 Customer Data Analyst intern,NESTMii GROUP Inc.,Anywhere,via Indeed,2023-03-18 03:00:19.519959,,"r, python, excel, sql, critical thinking"
Sr. Data Analyst,OST,Anywhere,via Indeed,2023-02-19 04:00:28.437202,,"tableau, qlik, power bi"
Sr. Data Analyst,OST,Anywhere,via Indeed,2023-02-19 04:00:30.180424,,"tableau, qlik, power bi"
Associate Research/Data Analyst (4206017),State of Missouri,"Jefferson City, MO",via Indeed,2022-12-14 04:00:12.833113,42500.0,"sas, sql, spss"
Data Analyst,Addison Group,Anywhere,via Indeed,2023-05-02 03:00:18.281223,60000.0,"excel, power bi, powerpoint"
Data Analyst,Addison Group,Anywhere,via Indeed,2023-05-02 03:00:21.296101,60000.0,"excel, power bi, powerpoint"
Research/Data Analyst - Administration Division,State of Missouri,"Jefferson City, MO",via Indeed,2023-01-07 04:00:22.495767,64000.0,"communication, tableau, problem solving, analytical thinking"
CCB_Data and Analytics- Data Scientist Analyst Expert,"JPMorgan Chase Bank, N.A.",United States,via Indeed,2022-12-12 04:00:16.438793,159500.0,"communication, detail oriented, tableau, aws, sql, python, alteryx"
Sr. Data Analyst: Marketing,"RLA Engineering, LLC",Anywhere,via Indeed,2022-12-31 04:00:14.510306,107120.0,"time management, communication, azure, power bi, word, initiative, tableau, visio, sharepoint, teamwork, excel, sql, outlook, dax, powerpoint"
Data Analyst III (SQL Analyst),Envolve-MSO,United States,via Indeed,2023-01-18 04:00:12.763232,,"excel, sql, flexibility"
"Associate Advisor - Data Analyst, Power Platform",Acumenian,United States,via Indeed,2022-12-23 04:00:34.658841,,"communication, power bi, excel, sql, decision making"
"Senior Associate, Data Analyst",KPMG,"Bentonville, AR",via Indeed,2022-12-25 04:00:09.830854,,"communication, azure, go"
Data Analyst Program Specialist II,South Dakota State Government,United States,via Indeed,2023-01-13 04:00:30.934272,67315.86,"communication, power bi, problem solving, teamwork, presentation skills"
Clinical Nurse Informatics Data Analyst,Swope Health Services,"Kansas City, MO",via Indeed,2022-12-21 04:00:21.181553,,"communication, sql"
Data Analyst,A&K Railroad Materials Inc,"Kansas City, KS",via Indeed,2023-01-23 04:00:07.954675,,"vba, communication, power bi, c++, excel, sql, critical thinking, selenium, powerpoint"
Enterprise Fraud Strategy Data Analyst,Zelis,Anywhere,via Indeed,2022-12-17 04:00:18.936981,,"communication, power bi, sas, r, excel, sql, python"
Data Analyst,Tencor Staffing Services,Anywhere,via Indeed,2022-12-18 04:00:07.955049,79131.19,"communication, tableau, excel, machine learning, sql"
Junior Data Analyst,Data Insight Partners,Anywhere,via Indeed,2023-01-12 04:00:13.465375,,"r, python, mysql, postgres, node.js, git, sql"
Energy Data Analyst,BOK Financial,"Oklahoma City, OK",via Indeed,2023-01-27 04:00:11.234846,,"communication, power bi, teamwork, excel, sql, integrity"
Senior Data Analyst,Rose International,Anywhere,via Indeed,2022-12-15 04:00:17.971697,,"communication, word, data lake, tableau, sql"
Data Analyst III (Healthcare Analytics),Corporate,United States,via Indeed,2022-12-12 04:00:11.338020,,"python, flexibility, power bi"
Data Analyst with P&C (Property and Casualty) insurance domain,VBeyond Corporation,United States,via Indeed,2022-12-13 04:00:33.649798,,"python, power bi, tableau, qlik, sql, c, spark"
Problem Management Business Data Analyst Intern,Corporate,United States,via Indeed,2022-12-12 04:00:16.438793,,
Financial Data Analyst II - Remote,Corporate,Anywhere,via Indeed,2022-12-12 04:00:14.017393,,"sql, flexibility"
Associate Data Analyst,Media Cause,Anywhere,via Indeed,2023-01-24 04:00:19.256221,,"communication, power bi, tableau, excel, sql"
It System Analyst to automate data,Upwork,Anywhere,via Upwork,2023-01-05 04:00:48.064433,,"sharepoint, sql"
Powerful Linux Computer for Molecular Modeling Simulation,Upwork,Anywhere,via Upwork,2022-11-04 15:36:59.724989,,linux
ARIMA Model Python Code Correction,Upwork,Anywhere,via Upwork,2022-11-20 04:00:32.135335,,python
Looking google Analytics expert for shopify,Upwork,Anywhere,via Upwork,2023-01-23 04:00:29.584857,,
"Data Analysis using Twarc2, R and Python",Upwork,Anywhere,via Upwork,2022-12-14 04:00:28.537853,48880.0,"r, python"
Lead Business Analyst,Upwork,Anywhere,via Upwork,2023-01-18 04:00:50.824296,63440.0,sql
Data analyst with NPD data and excel/ppt expertise,Upwork,Anywhere,via Upwork,2023-01-17 04:00:21.198446,63440.0,excel
Need a data analyst,Upwork,Anywhere,via Upwork,2023-01-29 04:00:08.629164,63440.0,
Reserach Tasks: Data Cleaning and Analysis,Upwork,Anywhere,via Upwork,2022-11-22 04:00:14.300270,64480.0,
Time Series,Upwork,Anywhere,via Upwork,2022-12-19 04:00:26.571946,86320.0,
Business Process Analyst/Consultant,Upwork,Anywhere,via Upwork,2022-12-05 04:00:33.850084,104000.0,"tableau, qlik, sap, power bi"
Solar Power Generation 5 minute interval data,Upwork,Anywhere,via Upwork,2023-05-16 03:00:19.178316,119600.0,
Data Analyst - Expert Excel skills with the ability to work with...,Upwork,Anywhere,via Upwork,2023-01-30 04:00:20.361482,135200.0,"looker, go, power bi, tableau, excel, sql"
Data Integration Analyst,Upwork,Anywhere,via Upwork,2023-01-28 04:00:17.131886,202800.0,"communication, azure, power bi, ssrs, ssis, power bi"
Subscription Analyst (Looker),Upwork,Anywhere,via Upwork,2023-05-15 03:00:36.816003,198120.0,looker
Numerical data analyst in google sheet to create a simple...,Upwork,Anywhere,via Upwork,2023-01-13 04:00:32.092493,55120.0,
"Brownian motion and stochastic process, using Statistics",Upwork,Anywhere,via Upwork,2022-11-05 05:00:34.417717,,
R programing help needed,Upwork,Anywhere,via Upwork,2022-12-05 04:00:31.710770,,r
Highest Ceiling Data Percentage,Upwork,Anywhere,via Upwork,2022-12-05 04:00:36.402888,,
"Data Analytics, AI / ML to assign categories",Upwork,Anywhere,via Upwork,2022-12-21 04:00:40.726098,,excel
Data analysis project preparation and interview preparation...,Upwork,Anywhere,via Upwork,2023-01-17 04:00:23.507493,,sql
"AI AND DL Engineers, Data Analyst Experts",Upwork,Anywhere,via Upwork,2023-05-09 03:00:56.507554,,"r, python, machine learning, sql"
Business Analysis: Porters Five Forces Analysis of Netflix,Upwork,Anywhere,via Upwork,2022-11-04 15:37:09.739482,,
Looking for a CRO expert for report,Upwork,Anywhere,via Upwork,2022-11-07 15:17:28.786856,,
Data Analyst/BI expert to help automate a series of analytics...,Upwork,Anywhere,via Upwork,2022-12-03 04:00:16.955239,,
Looking for Data Analyst that will recover our files encrypted by...,Upwork,Anywhere,via Upwork,2022-12-15 04:00:28.708531,,
Analytics about my competitors,Upwork,Anywhere,via Upwork,2022-12-25 04:00:15.897859,,excel
Data analyst,Upwork,Anywhere,via Upwork,2023-01-02 04:00:12.552732,,
Help with wufoo technical issues,Upwork,Anywhere,via Upwork,2023-01-03 04:00:21.687215,,
Data analyst,Upwork,Anywhere,via Upwork,2023-01-18 04:00:11.519114,,"sql, java, r, aws, excel, python, azure, html, power bi, tableau"
Data Analysis - Contract to Hire,Upwork,Anywhere,via Upwork,2023-04-05 03:00:39.843665,,
Data Analysis - Contract to Hire,Upwork,Anywhere,via Upwork,2023-04-05 03:00:42.347603,,
Small Data Analysis Using SQL,Upwork,Anywhere,via Upwork,2022-12-26 04:00:10.996841,36400.0,
Small Data Analysis Using SQL,Upwork,Anywhere,via Upwork,2022-12-26 04:00:12.867805,36400.0,
Data Analyst,Upwork,Anywhere,via Upwork,2022-11-05 05:00:09.387558,44720.0,powerpoint
Data analyst/BI expert to help automate a series of analytics reports,Upwork,Anywhere,via Upwork,2023-01-18 04:00:45.641443,63440.0,
Gridded data analysis,Upwork,Anywhere,via Upwork,2023-01-20 04:00:46.456624,63440.0,
Pricing analysis needed,Upwork,Anywhere,via Upwork,2023-02-11 04:00:41.132149,63440.0,
Configure Cross-Domain Conversion Analytics,Upwork,Anywhere,via Upwork,2022-12-12 04:00:20.871642,43680.0,
One-way ANOVA + Tukey HSD + Tueky superscripts,Upwork,Anywhere,via Upwork,2022-12-29 00:19:21.678395,48880.0,
"Programming for DA
Machine Learning for Data Analysis
Data...",Upwork,Anywhere,via Upwork,2022-12-03 04:00:47.302412,49920.0,
Tealium EventStream,Upwork,Anywhere,via Upwork,2023-02-01 04:00:58.133867,62400.0,
Data Analyst / Data Visualization / Metabase,Upwork,Anywhere,via Upwork,2022-12-23 04:00:34.658841,83200.0,go
Business Intelligence Analyst - Marketing,Upwork,Anywhere,via Upwork,2023-01-02 04:00:26.480957,93600.0,"communication, tableau, snowflake, excel, sql, integrity"
Google Analytics Expert - Build out of analytics process,Upwork,Anywhere,via Upwork,2022-12-12 04:00:34.959411,119600.0,
Excel Macro/VBA Programmer,Upwork,Anywhere,via Upwork,2022-12-19 04:00:34.906191,140400.0,"vba, communication, python, excel"
YouTube Analytics Expert,Upwork,Anywhere,via Upwork,2022-12-25 04:00:17.156834,192400.0,
Tableau prep/Data analyst expert,Upwork,Anywhere,via Upwork,2023-01-25 04:00:19.184146,260000.0,"sql, tableau"
Seeking Board Certified Applied Behavior Analyst,Upwork,Anywhere,via Upwork,2022-11-06 05:00:32.181411,,
Statistician with knowledge of R: Time series analysis using...,Upwork,Anywhere,via Upwork,2022-11-06 05:00:32.181411,,"r, machine learning"
Data Analyst needed!,Upwork,Anywhere,via Upwork,2022-12-12 04:00:11.338020,,
A Data Analysis Project to be Done With Python,Upwork,Anywhere,via Upwork,2022-12-12 04:00:18.384230,,python
Statisticians are needed for a quantitative study.,Upwork,Anywhere,via Upwork,2023-01-23 04:00:32.704563,,spss
Simple Plot Chart Digital Data Extracting help,Upwork,Anywhere,via Upwork,2023-04-10 03:00:37.311993,,r
Excel Function - finding frequency,Upwork,Anywhere,via Upwork,2022-11-21 04:00:29.361614,,"excel, spreadsheet"
Tableau Dashboard Reporting and Analytics Project,Upwork,Anywhere,via Upwork,2022-12-04 04:00:22.492644,,tableau
Reporting +Data Warehouse Support,Upwork,Anywhere,via Upwork,2022-12-05 04:00:36.402888,,"sql, python, tableau"
Analysis needed- double checking a previous analysis,Upwork,Anywhere,via Upwork,2022-12-10 04:00:41.295744,,spss
Excel Data Analysis,Upwork,Anywhere,via Upwork,2022-12-15 04:00:21.595705,,excel
Need Matomo expert,Upwork,Anywhere,via Upwork,2022-12-19 04:00:25.544441,,
Payroll Data Analyst (Weekly Process),Upwork,Anywhere,via Upwork,2022-12-29 00:19:20.657375,,"communication, excel, collaboration"
Google Analytics Event and Goal Settings *Rush*,Upwork,Anywhere,via Upwork,2022-12-31 04:00:24.249836,,
Microsoft Excel Expert for continuing project,Upwork,Anywhere,via Upwork,2023-01-01 04:00:20.032931,,spreadsheet
EXIM Data Analysis & Insights,Upwork,Anywhere,via Upwork,2023-01-15 04:00:26.645367,,
Expert Data Analyst for Determining Best Smoothing Algorithm for...,Upwork,Anywhere,via Upwork,2023-01-26 04:00:19.425816,,
Need Excel Help ASAP,Upwork,Anywhere,via Upwork,2023-02-12 04:00:29.978629,,excel
Microsoft Excel Experts Wanted,Upwork,Anywhere,via Upwork,2023-01-17 04:00:24.550594,31200.0,excel
Sharemarket Analyst,Upwork,Anywhere,via Upwork,2023-01-30 04:00:23.359186,36400.0,"communication, excel"
Power BI Expert - Real Estate Marketing,Upwork,Anywhere,via Upwork,2022-12-10 04:00:32.132360,72800.0,
Part-time Business Intelligence Administrator,Upwork,Anywhere,via Upwork,2022-12-24 04:00:22.803431,59280.0,"looker, excel, sql"
Data Analyst for Data Harmonisation and Input File Generation...,Upwork,Anywhere,via Upwork,2023-03-23 03:00:36.486449,46800.0,"python, spreadsheet, excel, machine learning, sql, spreadsheet"
Data Analyst help,Upwork,Anywhere,via Upwork,2023-01-12 04:00:17.910251,58240.0,"tableau, sql"
Nvivo specialist,Upwork,Anywhere,via Upwork,2023-01-15 04:01:06.961836,63440.0,
Shl Assessment - UCAT,Upwork,Anywhere,via Upwork,2022-12-31 04:00:18.880236,67600.0,
Excel Pivot Tables and Reporting,Upwork,Anywhere,via Upwork,2022-12-19 04:00:27.724854,104000.0,spreadsheet
Data Analyst,Upwork,Anywhere,via Upwork,2023-02-21 04:00:10.588581,78000.0,"dax, sql"
Senior Analyst Advanced Analytics and Data Science,Upwork,Anywhere,via Upwork,2023-04-10 03:00:18.664250,98800.0,
Data analytics,Upwork,Anywhere,via Upwork,2022-11-05 05:00:20.445262,112320.0,spss
Database analytics,Upwork,Anywhere,via Upwork,2022-11-09 04:00:27.177441,93600.0,"sql, mysql"
Excel Raw data - Contract to Hire,Upwork,Anywhere,via Upwork,2023-02-04 04:00:31.552565,119600.0,"sql, excel"
Monitoring  & Evaluation Specialist,Upwork,Anywhere,via Upwork,2022-12-19 04:00:34.906191,98800.0,"accountability, collaboration"
Data Analytics Consultant Needed for Growing Team - Contract to Hire,Upwork,Anywhere,via Upwork,2023-04-28 03:00:33.306804,107120.0,"r, aws, python, sql"
Data Cleansing Analyst,Upwork,Anywhere,via Upwork,2022-12-25 04:00:14.291820,145600.0,
Digital Marketing Analyst,Upwork,Anywhere,via Upwork,2023-02-16 04:01:40.582915,166400.0,"communication, creativity"
Software Engineer needed for Underwriting Analysis Streamlining,Upwork,Anywhere,via Upwork,2023-05-04 03:01:32.816764,249600.0,"excel, machine learning"
Yardi - SQL Reporting,Upwork,Anywhere,via Upwork,2023-04-06 03:00:25.405523,171600.0,excel
Business Intelligence/Data Analytics teacher needed,Upwork,Anywhere,via Upwork,2023-01-27 04:00:25.910974,62400.0,"power bi, tableau, sql"
Social Media Data Analyst,Upwork,Anywhere,via Upwork,2023-01-17 04:00:20.101570,83200.0,
"Data Analyst, Research, Entry and Admin (Emerging Health Testing...",Upwork,Anywhere,via Upwork,2023-01-17 04:00:23.507493,,go
Data Analysis Consultation (QI DNP Project),Upwork,Anywhere,via Upwork,2022-11-19 04:00:32.950855,,"excel, spss"
Analysis of a dataset with clear questions to answer,Upwork,Anywhere,via Upwork,2022-12-03 04:00:55.706589,,
Solve linear programming problems (data analytics),Upwork,Anywhere,via Upwork,2022-12-08 04:00:29.265789,,excel
Developer needed for data analysis,Upwork,Anywhere,via Upwork,2022-12-11 04:00:19.637082,,python
SPSS data analysis,Upwork,Anywhere,via Upwork,2022-12-21 04:00:25.690241,,spss
Student Performance Data Analysis,Upwork,Anywhere,via Upwork,2023-01-11 04:00:34.325162,,
Data analyst/bio statistic,Upwork,Anywhere,via Upwork,2023-02-02 04:00:17.046615,,
Need very basic data analysis of logins to a website,Upwork,Anywhere,via Upwork,2023-02-06 04:00:29.751337,,spreadsheet
Data Scientist for Lead Qualification in HubSpot - Contract to Hire,Upwork,Anywhere,via Upwork,2023-03-04 04:00:36.163002,,
Data Analyst Needed,Upwork,Anywhere,via Upwork,2022-11-04 03:40:13.440025,,
Need help in Pandas (Python),Upwork,Anywhere,via Upwork,2022-11-07 15:17:11.769570,,"pandas, python"
NPS survey required from scratch,Upwork,Anywhere,via Upwork,2022-11-08 06:00:22.217708,,
Data Analytics Services Needed,Upwork,Anywhere,via Upwork,2022-12-03 04:00:29.675522,,"excel, sql"
Sas programmar,Upwork,Anywhere,via Upwork,2022-12-12 04:00:20.871642,,sas
Data analyst/BI expert to help automate a series of analytics reports,Upwork,Anywhere,via Upwork,2022-12-20 04:00:31.566259,,
Analyze Website Traffic Drop,Upwork,Anywhere,via Upwork,2022-12-29 00:19:21.816106,,
SQL Programming Expert,Upwork,Anywhere,via Upwork,2023-01-02 04:00:32.317127,,sql
GA4 Analytics Conversion Setup,Upwork,Anywhere,via Upwork,2023-01-09 04:00:30.431337,,
Senior Web and Data Analyst,Upwork,Anywhere,via Upwork,2023-01-16 04:00:09.924768,,"detail oriented, time management, communication, tableau, javascript, critical thinking"
Data Analyst,Upwork,Anywhere,via Upwork,2023-01-26 04:00:12.058990,,
Create Excel Question & Answers using Functions - Contract to Hire,Upwork,Anywhere,via Upwork,2023-02-17 04:00:58.533765,,excel
"6 Excel projects (Financial, Statistical formulas0",Upwork,Anywhere,via Upwork,2023-03-26 03:00:37.090384,,
Google Analytics Developer,Upwork,Anywhere,via Upwork,2023-04-05 03:01:08.121633,,
Various Excel Data Analysis Assignments,Upwork,Anywhere,via Upwork,2023-05-04 03:01:07.108192,,"communication, python, excel"
Statistical modelling - Contract to Hire,Upwork,Anywhere,via Upwork,2023-05-10 03:01:56.008689,,
Forensics and Data Analysis on potential Ransomwar,Upwork,Anywhere,via Upwork,2023-03-24 03:01:13.691615,,"go, outlook"
Healthcare RCM data analyst,Upwork,Anywhere,via Upwork,2023-01-04 04:00:17.730627,62400.0,
